start_time,end_time,label,int8_unsafe_prob,int8_prediction
0.002250333317,0.9908810833,0,0.5,1
0.5015583332,1.490189083,0,0.40625,0
1.000868083,1.989497125,0,0.3203125,0
1.500175083,2.488804125,0,0.265625,0
1.999483125,2.988111333,0,0.25390625,0
2.498790125,3.487418333,0,0.359375,0
2.998097333,3.986724333,0,0.24609375,0
3.497404333,4.486030333,0,0.36328125,0
3.996710333,4.985335083,0,0.328125,0
4.496016333,5.484640083,0,0.1484375,0
4.995322083,5.983944875,0,0.13671875,0
5.494626083,6.483248875,0,0.16796875,0
5.993930875,6.982551583,0,0.61328125,1
6.493234875,7.481854583,0,0.5703125,1
6.992537583,7.981155333,0,0.3515625,0
7.491840583,8.480456333,0,0.40625,0
7.991141333,8.979758,0,0.56640625,1
8.490442333,9.479057,0,0.74609375,1
8.989744,9.9783545,1,0.8984375,1
9.489043,10.4776525,1,0.85546875,1
9.9883405,10.97695025,1,0.22265625,0
10.4876385,11.47624625,0,0.2265625,0
10.98693625,11.97553971,0,0.203125,0
11.48623125,12.47483371,0,0.13671875,0
11.98552571,12.97412771,0,0.27734375,0
12.48481971,13.47342071,0,0.3125,0
12.98411371,13.97271246,0,0.2578125,0
13.48340671,14.47200346,0,0.52734375,1
13.98269746,14.97129388,0,0.32421875,0
14.48198846,15.47058287,0,0.13671875,0
14.98127887,15.96987258,0,0.25,0
15.48056887,16.46916258,0,0.46484375,0
15.97985858,16.96845258,0,0.29296875,0
16.47914858,17.46774258,0,0.3515625,0
16.97843858,17.96703396,0,0.43359375,0
17.47772858,18.46632496,0,0.2109375,0
17.97701996,18.96561646,0,0.15234375,0
18.47631096,19.46490846,0,0.59375,1
18.97560246,19.96420096,0,0.546875,1
19.47489446,20.46349296,0,0.265625,0
19.97418696,20.96278546,0,0.2265625,0
20.47347896,21.46207846,0,0.75,1
