x_mean,x_std,x_min,x_max,x_rms,y_mean,y_std,y_min,y_max,y_rms,z_mean,z_std,z_min,z_max,z_rms,mag_mean,mag_std,mag_min,mag_max,mag_rms,start_time,end_time,label
-0.0025532258353221735,0.04439195162169863,-0.08850598396260553,0.13249203633730386,0.04446531604463627,0.0015548616898225143,0.025397834873697643,-0.09717082325688098,0.06344124880629506,0.02544538486928602,0.024210057893899913,0.03794558522069477,-0.05561775733362575,0.11869820704512139,0.04501104687703893,0.061802102276862676,0.03266321622865883,0.023728582316779923,0.20252239705179775,0.0699026862161957,0.002250333317,0.9908810833,0
0.004072326747719954,0.030503354371262375,-0.06820306773493565,0.0799702333241198,0.030773990203400773,0.0074915791193532035,0.019175364293463285,-0.028601039140410858,0.06344124880629506,0.020586849042254027,0.021545113786906708,0.03501049151865217,-0.05561775733362575,0.09034327780337659,0.041108714945475654,0.05272552288595479,0.022527881527042125,0.01937639632896763,0.10116329097526784,0.05733660444858754,0.5015583332,1.490189083,0
0.0008314691150362613,0.023520998286430214,-0.041353331353338796,0.04601808010918456,0.02353568994696166,0.0057354268993382775,0.01485967171428622,-0.02044821904108426,0.04411379862788156,0.01592811869537677,0.01394490713576461,0.023005407983267747,-0.029285555934979432,0.07167580281248796,0.02690184438847452,0.03815537318970342,0.01608042156184644,0.012638351629624735,0.0714269432082032,0.04140546414245629,1.000868083,1.989497125,0
-0.006909898858540558,0.018825699364879225,-0.041353331353338796,0.04561196545170723,0.02005376919215124,-0.0017995192887302002,0.013360766518010105,-0.0359618973368136,0.028807585234229816,0.013481407627517681,0.006321678155264552,0.022636507722975048,-0.02760741459895481,0.07167580281248796,0.02350266147888485,0.03188049419698616,0.0164312244448389,0.011487408969364983,0.0714269432082032,0.03586573639284072,1.500175083,2.488804125,0
-0.00684716868210677,0.023882046112038112,-0.06319730328072348,0.04561196545170723,0.024844231633494696,-0.0027609019642464896,0.014044838992874209,-0.038300324921972745,0.02153426813266337,0.01431363273218717,-0.0005643272005965605,0.02087756981906746,-0.06396703770816278,0.03460481427319269,0.020885195396245865,0.034324323094108884,0.01671651929682157,0.011487408969364983,0.07122035694901725,0.03817854336233618,1.999483125,2.988111333,0
6.047501489538726e-05,0.03425937703169728,-0.06319730328072348,0.11827605536802212,0.03425943040722384,-0.00011929264823471209,0.016381047479164936,-0.05737345640142793,0.02153426813266337,0.016381481839277505,0.0032890947177208877,0.02134595231827009,-0.06396703770816278,0.03460481427319269,0.02159786620099309,0.03878074500460346,0.023798238405369723,0.008698820920868865,0.13150028340423486,0.045500575098682994,2.498790125,3.487418333,0
0.010691772145185553,0.04367409050874371,-0.04950888753221686,0.11827605536802212,0.04496376511559617,-0.0005843676270768559,0.018986137559905473,-0.05737345640142793,0.029793510445133307,0.018995128453559582,0.0050660446057608,0.016075073520191403,-0.03086524876480779,0.03973262559632364,0.01685445925051044,0.04340764975675082,0.030710991250812662,0.008698820920868865,0.13150028340423486,0.0531731985215507,2.998097333,3.986724333,0
0.012723267090452448,0.048876482339870624,-0.06106948612871974,0.11933223742434976,0.05050536656014563,-0.004281523129890843,0.026318523629603262,-0.08151800034371989,0.04890723562006878,0.026664510615306166,0.0008147723476230656,0.023101980343297048,-0.07137894986294507,0.05281435149814356,0.02311634378011658,0.05382792917774403,0.03307618700615325,0.016413060540345158,0.14185845902287797,0.06317816162591508,3.497404333,4.486030333,0
-0.0013683433490629584,0.046150530956595964,-0.11364018580587924,0.11933223742434976,0.046170811895575835,-1.8777068638458974e-05,0.028011601996199533,-0.08151800034371989,0.05365357738184286,0.028011608289632287,0.0026686451950976796,0.023377237348186475,-0.07137894986294507,0.05281435149814356,0.023529064860524366,0.051087160175059106,0.03230819232110818,0.007753811760190143,0.14185845902287797,0.06044598601900591,3.996710333,4.985335083,0
-0.00925436471838253,0.02995416565632494,-0.11364018580587924,0.04851951993038253,0.03135116116681167,0.00527955258622647,0.017413551381753784,-0.029029406080995454,0.05365357738184286,0.018196303120021653,0.0016321140395992764,0.015863202128882037,-0.027697775105065353,0.04702845738708994,0.01594694259160748,0.03408084744924024,0.02372276662275467,0.007753811760190143,0.11529763873923918,0.041524376203575505,4.496016333,5.484640083,0
0.00494288999828735,0.01580262470253096,-0.02611233285585188,0.047413002959734794,0.01655762993378614,-9.508652469166746e-05,0.009800598641822795,-0.0211177684916853,0.022889453862228223,0.00980105990111665,-0.0013911518799652903,0.012865738532419884,-0.023843256999363356,0.023832950115790636,0.01294073149160142,0.023884526268348912,0.008415097432091317,0.009683696307321256,0.04992822144867119,0.025323594923609073,4.995322083,5.983944875,0
0.013736108513903443,0.02165650448539121,-0.024753039852140193,0.07121018094721954,0.025645367293753076,-0.0014554800866808785,0.01182427514318725,-0.023311693697274535,0.018414506111775936,0.01191351774013538,0.0008954239258052096,0.011244089090919139,-0.022946344693056436,0.023832950115790636,0.011279686320613316,0.03026552809795752,0.01281897571227535,0.012890773906135479,0.07065576527033596,0.03286834844284333,5.494626083,6.483248875,0
0.04424642416113614,0.043249528353133185,-0.024753039852140193,0.15443006636150408,0.06187299696810914,-0.01292041406681093,0.023461614679974124,-0.06993282661374929,0.019143481064213052,0.02678403373372695,0.005808385424264025,0.020980660738587665,-0.0402103349156064,0.05279247287181067,0.02176982926585591,0.05901286723307566,0.04167143560723494,0.01615283652241677,0.1727765179883407,0.07224283386355039,5.993930875,6.982551583,0
0.06384576307375445,0.04682544181563036,-0.054292743533383724,0.15443006636150408,0.07917640724167126,-0.008170990535104075,0.032155647102168394,-0.06993282661374929,0.06831471442189227,0.033177563606810415,0.014412321341516026,0.02789913487270806,-0.0402103349156064,0.07764313573205113,0.03140185875225658,0.0850767001551413,0.03771393891393414,0.02606467640477544,0.1727765179883407,0.09306119544521108,6.493234875,7.481854583,0
0.05769994981594678,0.04189493021606492,-0.054292743533383724,0.1414673288426317,0.07130546533451504,0.004642838179099166,0.02614956143226575,-0.04339648317557058,0.06831471442189227,0.026558529881323276,0.008344066141386516,0.029941410038539406,-0.05411099225506541,0.07764313573205113,0.031082333806646198,0.07950667566598493,0.02904143580618662,0.03599478587458222,0.15976537190470938,0.08464464820141306,6.992537583,7.981155333,0
0.05869004289923137,0.03701250449662722,-0.03560186110901439,0.1428180283147021,0.06938621350546857,-0.0017123578583499754,0.02489961720508078,-0.04339648317557058,0.06328349280671684,0.024958427562541033,-0.003908381944938052,0.029112152393927237,-0.05411099225506541,0.0671912993403533,0.029373335977290038,0.07745292800709004,0.02939923838963591,0.03599478587458222,0.15976537190470938,0.0828448626938455,7.491840583,8.480456333,0
