,Time (s),Tilt angle (deg)
Tilting started,5.494626083,0.8917180885215535
Tilting stopped,9.9583825,19.403514139302217
Pen fell,10.0981865,19.851651905147065
Return started,12.35500371,19.36759840193209
Back flat,17.17815458,0.8255409219765425
