phase,Samples,Mean,Std,Peak,RMS
Phase 1 - Calm Baseline,301,0.04470836026584047,0.026142746595565907,0.20252239705179775,0.05176881398879382
Phase 2 - Tilt / Movement,610,0.05840814218707517,0.03902055344616172,0.20978889244052615,0.07022548393232543
Phase 3 - Fall / Unstable,111,0.13270453817290048,0.05489237951243436,0.2766334847711952,0.1435148845052576
Phase 4 - Return,698,0.07078789887220115,0.03696198478791814,0.19684343755649913,0.07984458438959594
Phase 5 - Final Stable,435,0.0520906203548189,0.057666090892067215,0.4870094842206249,0.07766058344170781
