time,gyro_x,gyro_y,gyro_z,gyro_abs,gyro_mag,gyro_x_filtered,gyro_y_filtered,gyro_z_filtered,gyro_mag_filtered,tilt_angle,phase
0.002250333317,0.1324370354,-0.09707519412,0.11864122,0.2025806031,0.2025806030745909,0.13249203633730386,-0.09717082325688098,0.11869820704512139,0.20252239705179775,0.0,Phase 1 - Calm Baseline
0.01223633322,0.1200408116,-0.101400435,0.1364537776,0.2081140987,0.20811409872732356,0.13070763034514796,-0.07484083854761911,0.11012905787821217,0.18408923930947424,0.07688393812864372,Phase 1 - Calm Baseline
0.02222233335,0.1183433086,-0.07412487268,0.125596866,0.1878142917,0.18781429175982056,0.12471256487289807,-0.05147858737456938,0.09861268792692673,0.16385272769326623,0.1515423436834349,Phase 1 - Calm Baseline
0.03220833326,0.1208741888,-0.03418724611,0.09324152023,0.156439504,0.15643950399258255,0.11094023763605411,-0.027168641968359768,0.08270850312262897,0.14151614918859173,0.2205457348905806,Phase 1 - Calm Baseline
0.04219433316,0.1096524298,0.008451296017,0.05614501238,0.1234801287,0.1234801286870128,0.08744519932240707,-0.003523537825723753,0.06316191109711203,0.11883282704612008,0.2788877591766348,Phase 1 - Calm Baseline
0.0521803333,0.0755680725,0.02739248797,0.02672189102,0.08470502605,0.08470502605062233,0.05479329453937637,0.016939228794315545,0.04236857108536426,0.09894493229217446,0.32116738915977167,Phase 1 - Calm Baseline
0.06216733321,0.02141295932,0.04320846871,0.01268010773,0.04986252828,0.04986252828675487,0.016366541708661617,0.03186991458920711,0.023181326216588676,0.08484609134812338,0.3431151880652627,Phase 1 - Calm Baseline
0.07215333334,-0.03606417775,0.04201889038,0.003652062034,0.05549368994,0.055493689935435325,-0.022349375849174895,0.03992753284146542,0.007829080294422787,0.07779876507006954,0.34299198200797026,Phase 1 - Calm Baseline
0.08213933324,-0.07760736346,0.03594955057,0.0009540135507,0.08553468999,0.08553468998746912,-0.05537904956885412,0.041036083552849385,-0.0025730351472358927,0.07662769100050257,0.32234395330174226,Phase 1 - Calm Baseline
0.09212533315,-0.09737787396,0.02959285118,-0.001070255181,0.1017808068,0.1017808067568917,-0.07810142942984775,0.036124519404594435,-0.007917678544623899,0.07832887713787372,0.28574649837336996,Phase 1 - Calm Baseline
0.1021113333,-0.09184995294,0.02532619983,-0.004435691983,0.09538084512,0.09538084512247391,-0.08850598396260553,0.026668740454855955,-0.00871514918406083,0.07956661454008239,0.23967216101293407,Phase 1 - Calm Baseline
0.1120983332,-0.08098904043,0.01706811972,-0.009346688166,0.08329409319,0.08329409318925847,-0.08739697684992115,0.014344582918618053,-0.00576625443228606,0.07808735304401318,0.19093369463394466,Phase 1 - Calm Baseline
0.1220843333,-0.07053879648,0.002066800836,-0.003951390274,0.07067960781,0.07067960780621248,-0.07766393529620126,0.000897323730865679,-6.03652128930694e-05,0.07331770703310683,0.14530177722480517,Phase 1 - Calm Baseline
0.1320703332,-0.05672433972,-0.01035782974,0.00360433571,0.05777479199,0.05777479199013338,-0.06313484552711346,-0.011867685525392128,0.007181164421136622,0.06608418261605645,0.10661071846993526,Phase 1 - Calm Baseline
0.1420563331,-0.04349215701,-0.01717978343,0.01499547437,0.04910780928,0.04910780927373488,-0.04753370883051385,-0.02211956955792884,0.014510725943332277,0.05787488588342913,0.0765392493463492,Phase 1 - Calm Baseline
0.1520423333,-0.03249071538,-0.0279340446,0.02387499996,0.04905071923,0.04905071922723415,-0.033812433760018974,-0.02815561548929976,0.02043079126050957,0.05014164631120918,0.05485627133127975,Phase 1 - Calm Baseline
0.1620283332,-0.0258884728,-0.03450433165,0.02760875225,0.05121528216,0.05121528216588689,-0.02387539727165921,-0.028709317205683312,0.023704659804321578,0.0439397092710914,0.03994141226365614,Phase 1 - Calm Baseline
0.1720153333,-0.01934956945,-0.03111890331,0.026026804,0.04494648493,0.04494648493010236,-0.018575852753049703,-0.02336568427448527,0.023659543169870345,0.03989191306100862,0.029384343846971615,Phase 1 - Calm Baseline
0.1820013332,-0.01712689549,-0.02480108663,0.02076839283,0.03660260357,0.03660260356716913,-0.01782720978106065,-0.01291057390600859,0.02034506065691966,0.038232147649327454,0.02055858504067011,Phase 1 - Calm Baseline
0.1919873334,-0.01586250588,0.00128471991,0.01491609775,0.02181191349,0.021811913490744916,-0.020723270820845803,0.0006329842339005263,0.014496357020104768,0.03871193784664295,0.011118497262191536,Phase 1 - Calm Baseline
0.2019733333,-0.02097098157,0.02562308311,0.006382530555,0.03372033737,0.03372033737015031,-0.025670911150941583,0.014433719500488279,0.007339831746556711,0.04043431298272614,-0.0005654992546028676,Phase 1 - Calm Baseline
0.2119593332,-0.03311480954,0.0324572213,-0.001125648152,0.04638242026,0.04638242025972501,-0.03062802211958669,0.025636629792487795,0.00031729399705921255,0.04192502455753506,-0.015083025472619267,Phase 1 - Calm Baseline
0.2219453333,-0.04023823142,0.03493262827,-0.006114548072,0.05363572955,0.0536357295446261,-0.033516280060091774,0.032154598890411445,-0.005200285427676527,0.04165484801148414,-0.03184493809426538,Phase 1 - Calm Baseline
0.2319323332,-0.03967348486,0.03727767244,-0.01005110797,0.0553591459,0.05535914590115334,-0.03273392761109713,0.03313631608633852,-0.008155913534255254,0.03883852965490359,-0.04921104211222957,Phase 1 - Calm Baseline
0.2419183333,-0.02810178325,0.03323792294,-0.009026323445,0.04445159455,0.044451594551029504,-0.027560829557165337,0.029006203817223367,-0.007972265899055711,0.03403005097756723,-0.06487168525062406,Phase 1 - Calm Baseline
0.2519043332,-0.01667180471,0.01483140793,-0.005923515186,0.02308696094,0.02308696094407442,-0.018278514110756875,0.021146518181681544,-0.004622564161276797,0.029072273486817814,-0.07639695483264143,Phase 1 - Calm Baseline
0.2618903331,-0.005489724688,0.003205378074,0.001902982825,0.006635726741,0.006635726740874855,-0.006001245475576318,0.011353166554648299,0.001396900797545996,0.02631088814310083,-0.08175450550899158,Phase 1 - Calm Baseline
0.2718763333,0.007469147909,-0.002681987127,0.01007411908,0.0128245507,0.012824550700665223,0.007645358962705516,0.0012650740603176956,0.009178228965281086,0.02744671624702873,-0.07969581091865978,Phase 1 - Calm Baseline
0.2818623332,0.0221916344,-0.006704425439,0.01863964461,0.02974650079,0.029746500785764293,0.020864832379131372,-0.007996773431309962,0.01756009677084283,0.032665614405275364,-0.06995132729152988,Phase 1 - Calm Baseline
0.2918493333,0.03485313803,-0.01532056276,0.02174025215,0.0438417545,0.04384175449690524,0.031992668737147116,-0.015864871072837083,0.02528739291937917,0.04051207267935692,-0.05323994460971044,Phase 1 - Calm Baseline
0.3018353332,0.04146097228,-0.01842767373,0.03056570143,0.05470697839,0.05470697839773427,0.03973845369826527,-0.022117628960515976,0.03115806507267169,0.04849823861626608,-0.031130911053529296,Phase 1 - Calm Baseline
0.3118213331,0.04430252686,-0.02065205015,0.03842119873,0.06217241811,0.06217241810826799,0.043331461932980715,-0.026610820730847796,0.03418834876026278,0.054070299994837485,-0.00577810021033105,Phase 1 - Calm Baseline
0.3218073333,0.04092217609,-0.03093291819,0.03525496647,0.06224453859,0.06224453859167907,0.04254193436055494,-0.029111325995411462,0.03381404758082807,0.0555003679968824,0.02037672506679009,Phase 1 - Calm Baseline
0.3317933332,0.03504294902,-0.03294406831,0.03322102502,0.05845473819,0.0584547381844426,0.03760039926355221,-0.02931814784943287,0.030071281775809283,0.05241684256517149,0.04489201961909008,Phase 1 - Calm Baseline
0.3417793333,0.02973660082,-0.02615327202,0.0263838917,0.04758538438,0.047585384383416175,0.02908812484196393,-0.02703605944201092,0.023662021464364025,0.0458550914891358,0.0655584780304266,Phase 1 - Calm Baseline
0.3517663332,0.01955799013,-0.02552272379,0.01601525582,0.03592231656,0.03592231655344423,0.01787120529654758,-0.022376532467730772,0.015845918817149633,0.03784631885714116,0.08058235548709249,Phase 1 - Calm Baseline
0.3617523334,0.007697868627,-0.02064354718,0.004292819183,0.02244641437,0.022446414370882704,0.0050876334915463985,-0.015876101502549794,0.008160265893105582,0.030676512473437185,0.08873872049907008,Phase 1 - Calm Baseline
0.3717383333,-0.006889512762,-0.005015077069,-0.001284767292,0.008617830998,0.008617830997435696,-0.007874732239605425,-0.008481750263027074,0.00203432749420066,0.026054359009532367,0.08952974347254829,Phase 1 - Calm Baseline
